#,Component / Report,Metric Name,Level I - Category,Description,Units,Data Source Present,Required Input(s),Asset Status,Calculation,Visualization,Desirability,Also Appears In / Rationale,Verdict,Notes,
1,4.4.1 Solution Overview,Conservation Goals Met,1. General,Count/percentage of conservation targets achieved by the solution,Count and %,,Prioritizr solution output,✅ System-generated,COUNT(targets where achieved >= goal) / Total targets × 100,Visual checkmarks (✓/✗),Pending,"Trade-off Report, Comparison Panel",Yes,Make sure target is clear quantitatively,39
19,4.4.2 AOI Dashboard,Priority Area % of Region,1. General,Percentage of AOI covered by conservation priorities,% of region,,"Derived from #1, AOI boundary",✅ Calculated,Priority area / AOI total area × 100,Progress bar,Pending,Regional Report,Yes,Can we add additional on top of whatever is already protected by RUNAP?,
21,4.4.2 AOI Dashboard,Species Richness - Mammals,3. Species/Biodiversity,Count of mammal species with habitat in solution area,Count,,Species distribution - Mammals,❓ Unknown,COUNT(mammal species where habitat overlaps solution),Bar chart,Pending,Species Report,Yes,,
22,4.4.2 AOI Dashboard,Species Richness - Birds,3. Species/Biodiversity,Count of bird species with habitat in solution area,Count,,Species distribution - Birds,❓ Unknown,COUNT(bird species where habitat overlaps solution),Bar chart,Pending,Species Report,Yes,,
23,4.4.2 AOI Dashboard,Species Richness - Amphibians,3. Species/Biodiversity,Count of amphibian species with habitat in solution area,Count,,Species distribution - Amphibians,❓ Unknown,COUNT(amphibian species where habitat overlaps solution),Bar chart,Pending,Species Report,Yes,,
24,4.4.2 AOI Dashboard,Species Richness - Reptiles,3. Species/Biodiversity,Count of reptile species with habitat in solution area,Count,,Species distribution - Reptiles,❓ Unknown,COUNT(reptile species where habitat overlaps solution),Bar chart,Pending,Species Report,Yes,,
25,4.4.2 AOI Dashboard,Species Richness - Plants,3. Species/Biodiversity,Count of plant species with habitat in solution area,Count,,Species distribution - Plants,❓ Unknown,COUNT(plant species where habitat overlaps solution),Bar chart,Pending,Species Report,Yes,,
26,4.4.2 AOI Dashboard,Threatened Species Count,3. Species/Biodiversity,Count of IUCN threatened species in solution area,Count,,"Species distribution layers, IUCN threat status attribute",❓ Unknown,"COUNT(species where IUCN status IN (CR, EN, VU) AND habitat overlaps solution)",Badge with red highlight,Pending,"Species Report, Solution Overview",Yes,,
27,4.4.2 AOI Dashboard,Endemic Species Count,3. Species/Biodiversity,Count of endemic species with habitat in solution area,Count,,"Species distribution layers, Endemism attribute",❓ Unknown,COUNT(species where endemic = TRUE AND habitat overlaps solution),Badge,Pending,Species Report,Yes,,
28,4.4.2 AOI Dashboard,% of National Species Total,3. Species/Biodiversity,Percentage of Colombia's total species found in AOI,%,,"Species distribution layers, National species totals",❓ Unknown,AOI species count / National species count × 100,Stat with comparison,Pending,Species Report,Yes,,
29,4.4.2 AOI Dashboard,Ecosystem Coverage - Cloud Forest,4. Ecosystems,Area of cloud forest ecosystem within solution,km² and %,,Ecosystem type layer,❓ Unknown,SUM(area where ecosystem = 'Cloud Forest') in solution,Donut chart segment,Pending,Ecosystem Report,Yes,,
30,4.4.2 AOI Dashboard,Ecosystem Coverage - Páramo,4. Ecosystems,Area of páramo ecosystem within solution,km² and %,,Ecosystem type layer,❓ Unknown,SUM(area where ecosystem = 'Páramo') in solution,Donut chart segment,Pending,Ecosystem Report,Yes,,
31,4.4.2 AOI Dashboard,Ecosystem Coverage - Dry Forest,4. Ecosystems,Area of dry forest ecosystem within solution,km² and %,,Ecosystem type layer,❓ Unknown,SUM(area where ecosystem = 'Dry Forest') in solution,Donut chart segment,Pending,Ecosystem Report,Yes,,
32,4.4.2 AOI Dashboard,Ecosystem Coverage - Wetlands,4. Ecosystems,Area of wetland ecosystem within solution,km² and %,,Ecosystem type layer,❓ Unknown,SUM(area where ecosystem = 'Wetlands') in solution,Donut chart segment,Pending,Ecosystem Report,Yes,,
33,4.4.2 AOI Dashboard,Ecosystem Coverage - Other,4. Ecosystems,Area of other ecosystem types within solution,km² and %,,Ecosystem type layer,❓ Unknown,SUM(area where ecosystem NOT IN above categories) in solution,Donut chart segment,Pending,Ecosystem Report,Yes,,
34,4.4.2 AOI Dashboard,Marine Protected Area (MPA) Overlap,9. Marine,Area and percentage of solution overlapping existing Marine Protected Areas,km² and %,,Marine Protected Areas layer (PA_MPA),❓ Unknown,SUM(solution area ∩ MPAs); (Solution ∩ MPAs) / Solution area × 100,"Stat card, map overlay",Pending,"Regional Report, Ecosystem Report",Maybe,I currrently am not running marine protected solutions. This will be something they run in the future so maybe? We could potentially add species from AquaMap data.,
35,4.4.2 AOI Dashboard,Coral Reef Coverage,9. Marine,Area of coral reef ecosystems within marine solution areas,km² and %,,Marine ecosystem type layer,❓ Unknown,SUM(area where ecosystem = 'Coral Reef') in solution,Donut chart segment,Pending,Ecosystem Report,Maybe,,
36,4.4.2 AOI Dashboard,Mangrove Coverage,9. Marine,Area of mangrove ecosystems within solution,km² and %,,Marine ecosystem type layer,❓ Unknown,SUM(area where ecosystem = 'Mangrove') in solution,Donut chart segment,Pending,Ecosystem Report,Maybe,,
37,4.4.2 AOI Dashboard,Seagrass Bed Coverage,9. Marine,Area of seagrass bed ecosystems within solution,km² and %,,Marine ecosystem type layer,❓ Unknown,SUM(area where ecosystem = 'Seagrass') in solution,Donut chart segment,Pending,Ecosystem Report,Maybe,,
38,4.4.2 AOI Dashboard,% of Solution in EEZ,9. Marine,Percentage of solution within Colombia's Exclusive Economic Zone (marine areas),%,,EEZ boundary layer (ADMIN_EEZ),❓ Unknown,(Solution area ∩ EEZ) / Total solution area × 100,Stat card,Pending,Regional Report,Maybe,Why would they run this outside of their EEZ?,
39,4.4.2 AOI Dashboard,Total Carbon Biomass,5. Carbon,Total carbon stored in priority areas,tCO2e,,Carbon storage layer (total),❓ Unknown,SUM(carbon density × area) for solution pixels,"Stat card, large number",Pending,Solution Overview,Yes,,
40,4.4.2 AOI Dashboard,Above-ground Carbon,5. Carbon,Above-ground carbon biomass in priority areas,tCO2e,,Above-ground carbon layer,❓ Unknown,SUM(above-ground carbon × area) for solution pixels,Breakdown stat,Pending,Ecosystem Report,Yes,,
41,4.4.2 AOI Dashboard,Soil Organic Carbon,5. Carbon,Soil organic carbon in priority areas,tCO2e,,Soil organic carbon layer,❓ Unknown,SUM(soil carbon × area) for solution pixels,Breakdown stat,Pending,Ecosystem Report,Yes,,
43,4.4.2 AOI Dashboard,% of National Carbon,5. Carbon,Percentage of Colombia's carbon stored in AOI priorities,%,,"Derived from #17, National carbon total",❓ Unknown,AOI carbon / National carbon × 100,Comparison stat,Pending,Regional Report,Yes,We could add carbon on top of what is already being stored in existing RUNAPs.,
44,4.4.2 AOI Dashboard,Water Regulation Capacity,6. Water,Hydrological regulation service provision,m³ or index,,Water regulation layer,❓ Unknown,SUM or MEAN(water regulation value) for solution,Gauge,Pending,Solution Overview,Yes,Do we actually have m3 for this? Or do we just have polygons? We need something for water so lets calc amount of these areas in the solution. and also the amount above and beyond what is in RUNAP. The m3 is useful for the scenario comparison. Ask Mesa if they have this data.,
51,4.4.2 AOI Dashboard,Land Use - Natural Forest,2. Land Cover/Habitat,% of priority area that is natural forest,%,,Land use layer,❓ Unknown,Area where land use = 'Forest' / Total solution area × 100,Donut segment,Pending,Territorial Report,Yes,,
52,4.4.2 AOI Dashboard,Land Use - Pasture,2. Land Cover/Habitat,% of priority area that is pasture,%,,Land use layer,❓ Unknown,Area where land use = 'Pasture' / Total solution area × 100,Donut segment,Pending,Territorial Report,Yes,,
53,4.4.2 AOI Dashboard,Land Use - Crop Agriculture,2. Land Cover/Habitat,% of priority area that is cropland,%,,Land use layer,❓ Unknown,Area where land use = 'Crops' / Total solution area × 100,Donut segment,Pending,Territorial Report,Yes,,
54,4.4.2 AOI Dashboard,Land Use - Other,2. Land Cover/Habitat,% of priority area with other land uses,%,,Land use layer,❓ Unknown,Area where land use NOT IN above / Total solution area × 100,Donut segment,Pending,Territorial Report,Yes,,
55,4.4.2 AOI Dashboard,Agricultural Opportunity Cost,2. Land Cover/Habitat,Economic value of agricultural production foregone in AOI,COP and USD,,Agricultural opportunity cost layer,❓ Unknown,SUM(ag cost × area) for solution pixels in AOI,"Stat card, currency",Pending,Solution Overview,Maybe,"Do we have data on this? I don't think so. We are going to check with Mesa on this one to see if they want it and have the data to compute it. If not, we drop",
57,4.4.2 AOI Dashboard,Historical Conflict Zone Overlap,8. Conflict,Priority area overlapping historical conflict zones,km²,,Conflict zones layer,❓ Unknown,SUM(solution area ∩ conflict zones),"Map overlay, stat",Pending,Solution Overview,Maybe,See above comment. Right now being used as cost but we will try to convince them to just add post hoc,I think current areas are representative enough. 
59,4.4.2 AOI Dashboard,Indigenous Reservations Area,7. Cultural/Indigenous,Area of indigenous reservations within priorities,km²,,Indigenous territories layer,❓ Unknown,SUM(solution area ∩ indigenous territories),List + area stat,Pending,Ethnic Report,Yes,,
60,4.4.2 AOI Dashboard,Community Councils Area,7. Cultural/Indigenous,Area of Afro-Colombian community councils within priorities,km²,,Community councils layer,❓ Unknown,SUM(solution area ∩ community councils),List + area stat,Pending,Ethnic Report,Yes,,
63,4.4.2 AOI Dashboard,Total Protected Area in AOI,1. General,Area already under formal protection in the AOI,km² and %,,Protected areas layer (all categories),❓ Unknown,SUM(solution area ∩ protected areas),Progress bar,Pending,Regional Report,Yes,Should be breakdown stat?,
64,4.4.2 AOI Dashboard,% Overlap with National Parks,1. General,% of solution overlapping National Parks,%,,National parks layer,❓ Unknown,(Solution ∩ Parks) / Solution area × 100,Breakdown stat,Pending,Regional Report,Yes,Plus what goes above and beyond the protected areas,
66,4.4.2 AOI Dashboard,% Overlap with Indigenous Territories,7. Cultural/Indigenous,% of solution in indigenous territories,%,,Indigenous territories layer,❓ Unknown,(Solution ∩ Indigenous) / Solution area × 100,Breakdown stat,Pending,Ethnic Report,Yes,Goes with #59,merge
70,4.4.3 Scenario Comparison,Agreement Area,1. General,Area selected in both scenarios being compared,km²,,Two Prioritizr solution outputs,✅ System-generated,Scenario A ∩ Scenario B,"Green overlay on map, stat card",Pending,Comparison Report only,Yes,,
71,4.4.3 Scenario Comparison,Unique to Scenario A,1. General,Area selected only in Scenario A (baseline),km²,,Two Prioritizr solution outputs,✅ System-generated,Scenario A - Scenario B,"Orange overlay on map, stat card",Pending,Comparison Report only,Yes,,
72,4.4.3 Scenario Comparison,Unique to Scenario B,1. General,Area selected only in Scenario B (comparison),km²,,Two Prioritizr solution outputs,✅ System-generated,Scenario B - Scenario A,"Blue overlay on map, stat card",Pending,Comparison Report only,Yes,,
