layer_id,layer_name,layer_description,layer_group,layer_role,source_org,source_dataset_name,source_url,source_created_at,source_updated_at,source_license,source_contact,metadata_verified_at,metadata_verified_by,storage_type,canonical_storage_uri,app_fetch_uri,data_format,scope,sirap_id,region_key,required_for_solution,in_use_now,selectable_in_finder,visible_in_map_layers,current_status,release_priority,target_app_surface,notes,scope_tags,metadata_status,validated_at,validated_by,selected_for_release
ADMIN_SIRAP,SIRAP Regions,SIRAP AOI boundaries used for regional selection,boundaries,admin_boundary,MADS,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/boundaries/sirap_regions.geojson,/data/sirap-regions.geojson,GeoJSON,nacional,,all,true,true,true,true,available,high,map-aoi-selector,Active AOI boundary layer,nacional,complete,2026-04-03T00:27:53Z,App Team,true
ADMIN_DEPARTMENTS,Colombia Departments,Department AOI boundaries served from IGAC,boundaries,admin_boundary,IGAC,unknown,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/2,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,remote_service,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/2,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/2,ArcGIS FeatureServer,nacional,,all,true,true,true,true,available,high,map-aoi-selector,Active AOI boundary layer,nacional,complete,2026-04-03T00:27:53Z,App Team,true
ADMIN_MUNICIPALITIES,Colombia Municipalities,Municipality AOI boundaries served from IGAC,boundaries,admin_boundary,IGAC,unknown,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/1,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,remote_service,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/1,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/1,ArcGIS FeatureServer,nacional,,all,true,true,true,true,available,high,map-aoi-selector,Active AOI boundary layer,nacional,complete,2026-04-03T00:27:53Z,App Team,true
DISP_ECO_TYPES,Ecosystem Types,Shows the distribution of ecosystem types across the selected area.,boundaries_or_overlays,ecosystem_display,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,unknown,unknown,unknown,GeoTIFF or Feature Service,nacional,,all,false,false,false,false,missing,medium,left-sidebar-map-layers,Placeholder layer entry exists in UI but not wired,nacional,missing,2026-04-03T00:27:53Z,App Team,false
DISP_PARAMOS,Paramos,Highlights paramos ecosystems that support biodiversity and water regulation.,features_or_services,ecosystem_display,Humboldt (IAvH),unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/features/strategic/paramos.tif,unknown,GeoTIFF,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists but not wired,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_WETLANDS,Wetlands,Highlights wetlands that support water storage and habitat connectivity.,features_or_services,ecosystem_display,IDEAM,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/features/strategic/humedales.tif,unknown,GeoTIFF,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists but not wired,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_DRY_FOREST,Dry Forest,Highlights dry forest ecosystems that are highly threatened and conservation-priority habitats.,features_or_services,ecosystem_display,IDEAM,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/features/strategic/bosque_seco.tif,unknown,GeoTIFF,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists but not wired,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_MANGROVES,Mangroves,Highlights mangrove ecosystems that support coastal protection and local livelihoods.,features_or_services,ecosystem_display,INVEMAR,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/features/strategic/mangroves.tif,unknown,GeoTIFF,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists but not wired,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_CARBON,Carbon Storage,Shows areas with higher potential carbon storage for climate mitigation context.,features_or_services,environmental_service,IDEAM,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,unknown,unknown,unknown,GeoTIFF,nacional,,all,false,false,false,false,missing,medium,left-sidebar-map-layers,Needed for environmental services visualization,nacional,missing,2026-04-03T00:27:53Z,App Team,false
DISP_WATER,Water Regulation,Shows areas important for water regulation and related ecosystem services.,features_or_services,environmental_service,IDEAM,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,unknown,unknown,unknown,GeoTIFF,nacional,,all,false,false,false,false,missing,medium,left-sidebar-map-layers,Needed for environmental services visualization,nacional,missing,2026-04-03T00:27:53Z,App Team,false
DISP_INDIGENOUS,Indigenous Reserves,Shows indigenous reserve territories to provide social and governance context for planning.,boundaries_or_overlays,cultural,ANT,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/resguardos.tif,unknown,GeoTIFF or Vector,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in INCL_RESGUARDOS,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_AFRO,Afro Territories,Shows Afro-Colombian community territories to provide social and governance context for planning.,boundaries_or_overlays,cultural,ANT,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/comunidades.tif,unknown,GeoTIFF or Vector,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in INCL_COMUNIDADES,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_HF,Human Footprint,Shows projected human footprint intensity to provide pressure context across the landscape.,boundaries_or_overlays,socio_economic,Humboldt (IAvH),unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/costs/human_footprint_2030.tif,unknown,GeoTIFF,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in COST_HF_2030,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_AG_COST,Agricultural Opportunity Cost,Shows agricultural net benefit as an opportunity-cost surface for conservation decisions.,boundaries_or_overlays,socio_economic,Humboldt (IAvH),unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/costs/net_benefit.tif,unknown,GeoTIFF,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in COST_NET_BENEFIT,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_LAND_USE,Land Use,Shows dominant land-use patterns to help interpret tradeoffs and local context.,boundaries_or_overlays,socio_economic,IDEAM / UPRA,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,unknown,unknown,unknown,GeoTIFF or Vector,nacional,,all,false,false,false,false,missing,medium,left-sidebar-map-layers,Needed for contextual overlay,nacional,missing,2026-04-03T00:27:53Z,App Team,false
DISP_CONFLICT,Conflict Zones,Shows conflict intensity based on coca and violence indicators for social-risk context.,boundaries_or_overlays,conflict,UNODC / Government,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/costs/conflict.tif,unknown,GeoTIFF,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in COST_CONFLICT,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_RUNAP,RUNAP Overlay,Shows official protected areas from RUNAP (2023).,boundaries_or_overlays,include_overlay,PNNC / RUNAP,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/runap_protected_areas.tif,unknown,GeoTIFF or Vector,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in INCL_RUNAP,nacional,partial,2026-04-03T00:27:53Z,App Team,false
DISP_OMECS,OMECs Overlay,Shows Other Effective Conservation Measures (OMECs) recognized outside formal protected areas.,boundaries_or_overlays,include_overlay,WDPA / Protected Planet,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/omecs.tif,unknown,GeoTIFF or Vector,nacional,,all,false,false,false,false,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in INCL_OMECS and INCL_OMECS_VECTOR,nacional,partial,2026-04-03T00:27:53Z,App Team,false
INCL_RESGUARDOS,Indigenous Reserves (Resguardos),Indigenous reserves include mask currently not exposed,includes_excludes,include,ANT,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/resguardos.tif,unknown,GeoTIFF,nacional,,all,false,false,false,false,available_not_wired,low,solution-finder,Could be added as optional include,nacional,partial,2026-04-03T00:27:53Z,App Team,false
INCL_OMECS_VECTOR,OMECs (vector),Vector OMECs data for future overlay use,includes_excludes,reference,WDPA / Protected Planet,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/omecs_vector/,unknown,Shapefile,nacional,,all,false,false,false,false,available_not_wired,low,left-sidebar-map-layers,Vector data available for future overlay wiring,nacional,partial,2026-04-03T00:27:53Z,App Team,false
SPECIES_ALL,Individual Species Distributions (~8751),Species distribution raster collection for potential species explorer,features,species,Humboldt (BioModelos),unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/species/,unknown,GeoTIFF Folder,nacional,,all,false,false,false,false,available_not_wired,low,left-sidebar-map-layers,Available dataset not currently rendered in map,nacional,partial,2026-04-03T00:27:53Z,App Team + Mesa Nacional,false
